Station,Year,Month,rainfall,tmax,tmin,cloud,wind,humidity,dry_bulb
Ambaganctg,1999,Jan,0.0,29.0,12.5,2.0,2.9,74.0,20.7
Ambaganctg,1999,Feb,20.0,32.4,14.0,1.0,2.6,62.0,25.1
Ambaganctg,1999,Mar,4.0,37.4,17.0,2.0,2.7,71.0,27.0
Ambaganctg,1999,Apr,40.0,36.2,21.2,2.0,3.0,75.0,29.6
Ambaganctg,1999,May,179.0,36.7,22.0,5.0,3.1,81.0,28.0
Ambaganctg,1999,Jun,509.0,39.7,22.0,6.0,2.2,87.0,27.8
Ambaganctg,1999,Jul,319.0,34.7,23.8,6.0,2.4,86.0,27.7
Ambaganctg,1999,Aug,258.0,35.0,24.0,7.0,2.3,87.0,27.4
Ambaganctg,1999,Sep,346.0,38.2,23.8,6.0,2.5,84.0,27.8
Ambaganctg,1999,Oct,98.0,35.7,23.7,3.0,2.5,83.0,27.8
Ambaganctg,1999,Nov,1.0,33.2,16.5,2.0,2.4,76.0,24.9
Ambaganctg,1999,Dec,0.0,29.6,13.5,2.0,2.4,77.0,21.4
Ambaganctg,2000,Jan,0.0,28.6,11.5,1.0,2.8,70.0,20.2
Ambaganctg,2000,Feb,0.0,31.0,12.2,1.0,3.2,62.0,21.9
Ambaganctg,2000,Mar,1.0,35.2,18.6,2.0,4.3,69.0,25.9
Ambaganctg,2000,Apr,0.0,35.6,20.0,3.0,3.3,78.0,27.9
Ambaganctg,2000,May,403.0,36.0,20.2,5.0,3.9,84.0,27.6
Ambaganctg,2000,Jun,896.0,35.5,21.7,7.0,3.4,86.0,27.8
Ambaganctg,2000,Jul,609.0,35.0,22.8,7.0,3.3,86.0,27.6
Ambaganctg,2000,Aug,834.0,35.2,22.9,7.0,2.9,87.0,27.8
Ambaganctg,2000,Sep,244.0,35.9,24.2,6.0,3.5,85.0,27.8
Ambaganctg,2000,Oct,198.0,35.2,22.0,5.0,2.3,86.0,27.4
Ambaganctg,2000,Nov,11.0,32.4,16.2,1.0,2.2,78.0,24.3
Ambaganctg,2000,Dec,81.0,30.7,13.5,1.0,2.3,72.0,20.7
Ambaganctg,2001,Jan,34.0,29.2,9.8,1.0,2.5,65.0,19.3
Ambaganctg,2001,Feb,10.0,34.0,13.0,2.0,2.7,66.0,23.2
Ambaganctg,2001,Mar,46.0,35.0,17.3,3.0,4.4,61.0,26.9
Ambaganctg,2001,Apr,119.0,37.0,21.5,3.0,5.1,73.0,29.1
Ambaganctg,2001,May,464.0,36.8,20.7,6.0,3.5,83.0,27.7
Ambaganctg,2001,Jun,622.0,36.6,22.8,6.0,3.9,87.0,27.3
Ambaganctg,2001,Jul,708.0,34.7,23.0,6.0,4.2,87.0,27.6
Ambaganctg,2001,Aug,564.0,34.6,24.5,7.0,3.5,84.0,28.6
Ambaganctg,2001,Sep,165.0,36.6,22.8,6.0,2.8,85.0,28.1
Ambaganctg,2001,Oct,488.0,34.2,22.8,5.0,4.4,85.0,27.8
Ambaganctg,2001,Nov,15.0,32.8,16.5,1.0,2.3,82.0,24.9
Ambaganctg,2001,Dec,0.0,28.7,14.2,0.0,2.2,77.0,20.7
Ambaganctg,2002,Jan,0.0,28.7,12.2,0.0,2.6,74.0,20.7
Ambaganctg,2002,Feb,7.0,32.4,12.5,1.0,2.6,60.0,23.6
Ambaganctg,2002,Mar,8.0,35.5,17.0,1.0,2.5,63.0,26.7
Ambaganctg,2002,Apr,40.0,36.2,17.3,3.0,4.6,77.0,27.2
Ambaganctg,2002,May,461.0,35.7,21.0,5.0,2.9,81.0,27.4
Ambaganctg,2002,Jun,601.0,36.4,23.0,7.0,3.0,83.0,28.2
Ambaganctg,2002,Jul,385.0,34.6,24.0,7.0,3.1,90.0,27.5
Ambaganctg,2002,Aug,237.0,35.2,23.7,7.0,2.8,87.0,27.7
Ambaganctg,2002,Sep,226.0,35.6,23.2,6.0,2.6,82.0,28.3
Ambaganctg,2002,Oct,242.0,35.0,20.5,5.0,2.2,81.0,27.2
Ambaganctg,2002,Nov,81.0,32.5,17.4,3.0,2.4,81.0,24.9
Ambaganctg,2002,Dec,0.0,30.4,12.2,1.0,1.7,76.0,21.0
Ambaganctg,2003,Jan,1.0,28.2,9.8,2.0,2.7,75.0,18.7
Ambaganctg,2003,Feb,0.0,30.2,15.0,0.0,2.6,67.0,23.4
Ambaganctg,2003,Mar,70.0,37.8,14.0,1.0,4.8,73.0,25.0
Ambaganctg,2003,Apr,79.0,40.0,20.8,3.0,3.5,77.0,28.5
Ambaganctg,2003,May,453.0,37.0,22.6,6.0,4.1,80.0,28.9
Ambaganctg,2003,Jun,374.0,36.2,22.2,6.0,2.9,89.0,27.1
Ambaganctg,2003,Jul,920.0,35.7,25.0,7.0,2.5,84.0,28.5
Ambaganctg,2003,Aug,456.0,34.4,24.5,7.0,2.7,84.0,28.4
Ambaganctg,2003,Sep,145.0,35.5,24.6,6.0,2.5,84.0,28.3
Ambaganctg,2003,Oct,128.0,35.6,22.0,4.0,2.3,84.0,28.2
Ambaganctg,2003,Nov,128.0,34.2,15.5,4.0,2.3,74.0,23.9
Ambaganctg,2003,Dec,10.0,29.2,13.2,1.0,1.8,77.0,21.1
Ambaganctg,2004,Jan,0.0,31.0,10.4,1.0,1.7,78.0,19.7
Ambaganctg,2004,Feb,0.0,37.5,12.0,1.0,1.9,66.0,22.2
Ambaganctg,2004,Mar,53.0,36.0,16.6,2.0,2.7,76.0,26.3
Ambaganctg,2004,Apr,170.0,35.5,19.3,3.0,3.2,78.0,27.4
Ambaganctg,2004,May,198.0,35.0,21.4,5.0,3.9,79.0,29.6
Ambaganctg,2004,Jun,1209.0,33.5,23.0,7.0,2.8,84.0,28.4
Ambaganctg,2004,Jul,296.0,33.0,22.7,6.0,3.0,87.0,27.6
Ambaganctg,2004,Aug,260.0,33.8,25.0,6.0,3.0,84.0,28.0
Ambaganctg,2004,Sep,210.0,33.4,23.5,5.0,2.5,86.0,27.7
Ambaganctg,2004,Oct,234.0,35.2,21.4,4.0,1.8,83.0,27.0
Ambaganctg,2004,Nov,0.0,33.2,16.5,0.0,1.4,76.0,23.5
Ambaganctg,2004,Dec,66.0,32.0,10.4,2.0,1.9,75.0,21.6
Ambaganctg,2005,Jan,0.0,31.0,11.6,2.0,1.9,69.0,19.706666666666667
Ambaganctg,2005,Feb,0.0,32.0,12.5,1.0,3.2,66.0,22.973333333333336
Ambaganctg,2005,Mar,6.0,36.2,18.0,3.0,3.8,76.0,26.466666666666665
Ambaganctg,2005,Apr,165.0,34.5,21.2,5.0,5.6,75.0,28.526666666666664
Ambaganctg,2005,May,275.0,34.5,21.5,5.0,2.9,77.0,28.646666666666665
Ambaganctg,2005,Jun,638.0,34.5,24.8,6.0,2.8,82.0,28.24666666666667
Ambaganctg,2005,Jul,905.0,34.0,23.8,7.0,3.1,86.0,27.973333333333333
Ambaganctg,2005,Aug,142.0,34.5,24.5,6.0,2.5,90.0,28.079999999999995
Ambaganctg,2005,Sep,590.0,34.5,24.2,6.0,2.6,86.0,28.186666666666664
Ambaganctg,2005,Oct,203.0,36.0,23.0,4.0,2.9,86.0,27.5
Ambaganctg,2005,Nov,0.0,33.8,16.6,0.0,2.3,82.0,24.466666666666665
Ambaganctg,2005,Dec,0.0,30.2,13.2,0.0,2.9,79.0,20.773333333333333
Ambaganctg,2006,Jan,5.0,31.2,12.5,1.0,2.7,76.0,20.1
Ambaganctg,2006,Feb,0.0,34.0,15.0,1.0,6.2,77.0,24.2
