Station_Raw,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Dhaka,1983,14,61,138,318,348,300,179,437,322,253,0,18,2388
Dhaka,1984,13,1,5,124,707,637,694,311,478,58,0,0,3028
Dhaka,1985,8,1,195,176,300,399,262,317,306,79,0,10,2053
Dhaka,1986,22,0,23,247,191,304,443,171,687,237,172,3,2500
Dhaka,1987,4,0,33,230,109,316,526,462,363,104,7,33,2187
Dhaka,1988,0,44,74,282,513,580,255,169,196,213,153,3,2482
Dhaka,1989,0,32,0,85,228,319,347,59,305,240,0,12,1627
Dhaka,1990,0,36,151,154,202,229,567,227,247,181,103,6,2103
Dhaka,1991,27,8,46,53,529,320,318,345,692,392,14,106,2850
Dhaka,1992,1,47,0,25,153,132,386,182,158,83,2,0,1169
Dhaka,1993,0,52,88,113,556,504,421,432,417,217,19,0,2819
Dhaka,1994,13,54,115,201,254,266,153,246,169,55,14,0,1540
Dhaka,1995,8,31,0,88,264,237,354,360,205,91,112,1,1751
Dhaka,1996,0,21,54,199,208,343,257,361,244,357,0,0,2044
Dhaka,1997,2,7,82,133,151,249,549,230,440,30,1,22,1896
Dhaka,1998,49,4,83,178,405,89,521,552,246,100,83,0,2310
Dhaka,1999,0,0,0,21,428,348,553,282,361,368,13,0,2374
Dhaka,2000,13,44,172,189,471,165,197,359,216,278,0,0,2104
Dhaka,2001,0,1,33,46,402,386,202,205,209,177,18,0,1679
Dhaka,2002,22,4,51,111,272,373,446,272,156,52,36,0,1795
Dhaka,2003,0,25,96,123,140,473,191,202,264,134,0,45,1693
Dhaka,2004,0,0,9,167,162,476,295,191,839,208,0,0,2347
Dhaka,2005,1,3,155,91,291,259,542,361,514,417,3,0,2637
Dhaka,2006,0,0,0,181,185,326,331,167,663,61,5,0,1919
Dhaka,2007,0,30,11,163,185,628,753,505,179,320,111,0,2885
Dhaka,2008,23,56,45,91,205,577,563,319,279,227,0,0,2385
Dhaka,2009,1,1,43,14,168,170,676,482,298,74,4,0,1931
Dhaka,2010,0,48,22,37,177,308,167,340,169,174,0,81,1523
Dhaka,2011,0,0,20,123,235,314,356,409,207,112,0,0,1776
Dhaka,2012,10,1,37,269,137,175,226,282,81,38,68,5,1329
Dhaka,2013,0,8,26,32,378,325,302,212,172,131,0,4,1590
Dhaka,2014,0,12,10,80,147,342,212,391,156,49,0,0,1399
Tangail,1987,0,18,0,302,108,85,356,394,289,66,24,30,1672
Tangail,1988,2,54,31,97,334,589,413,177,155,122,121,45,2140
Tangail,1989,0,63,1,102,329,150,381,55,274,217,0,7,1579
Tangail,1990,0,30,95,223,128,224,327,236,156,120,39,2,1580
Tangail,1991,13,20,76,59,416,398,430,169,700,376,1,90,2748
Tangail,1992,0,49,0,10,181,333,205,268,472,43,3,0,1564
Tangail,1993,3,16,46,150,390,509,477,258,513,216,1,0,2579
Tangail,1994,22,56,79,163,406,342,170,228,137,122,20,0,1745
Tangail,1995,12,56,9,34,215,350,372,356,246,109,92,1,1852
Tangail,1996,0,55,2,174,240,224,100,247,208,226,0,0,1476
Tangail,1997,0,37,20,200,162,312,516,469,252,13,2,28,2011
Tangail,1998,15,3,48,152,416,132,459,444,239,38,62,0,2008
Tangail,1999,0,0,0,6,206,201,358,156,246,193,35,0,1401
Tangail,2000,25,29,59,220,305,390,92,152,368,152,0,0,1792
Tangail,2001,5,0,86,88,364,301,269,134,188,94,43,0,1572
Tangail,2002,12,3,177,157,227,230,487,335,205,98,89,0,2020
Tangail,2003,0,14,145,99,352,303,223,169,262,207,0,22,1796
Tangail,2004,10,0,6,104,137,455,309,304,500,180,0,0,2005
Tangail,2005,4,8,58,44,232,135,331,264,381,556,4,0,2017
Tangail,2006,0,0,0,96,286,301,247,171,392,31,0,0,1524
Tangail,2007,0,48,24,60,67,660,609,275,253,173,89,0,2258
Tangail,2008,28,49,55,12,239,309,444,245,110,365,0,0,1856
Tangail,2009,0,0,1,59,218,185,329,314,205,80,0,0,1391
Tangail,2010,0,3,69,46,328,430,126,207,157,319,3,62,1750
Tangail,2011,3,0,48,68,198,303,259,761,150,49,0,0,1839
Tangail,2012,10,0,2,106,171,246,241,204,319,75,94,1,1469
Tangail,2013,0,13,3,60,293,213,106,238,126,128,0,2,1182
Tangail,2014,0,24,24,47,127,585,239,234,320,41,0,0,1641
Mymensingh,1983,9,3,66,115,512,112,413,865,281,453,0,11,2840
