Station_Raw,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
Dhaka,1985,29.4,32.4,37.1,35.8,35.1,35,34.3,34.7,35,35.5,33.3,30.6,37.1
Dhaka,1986,30,32.3,39.5,38,37.2,36.8,34.5,36,34.5,33.9,33.1,29,39.5
Dhaka,1987,29.8,35,39,39.5,38,37,34.1,34.7,34.6,35.1,33,29.2,39.5
Dhaka,1988,29.2,32.8,37,39,36.2,36.8,35.2,34.1,36,35.1,33,29.3,39
Dhaka,1989,27.9,32.6,37.2,38.4,39.4,36.5,34.1,35.5,35.3,35.4,33.4,30,39.4
Dhaka,1990,28.2,30.4,34.6,34.5,35.4,34.2,32.7,35.3,34.8,34,32.8,28.6,35.4
Dhaka,1991,28,33,36.8,37.2,34.2,34,35,36.2,34.5,37,30.2,29.3,37.2
Dhaka,1992,27.4,28,36.6,39.2,36.2,35.8,33.8,35.2,35,34.6,33.5,27.8,39.2
Dhaka,1993,28.6,32,34.6,37,35,34.3,33.2,33.3,35.3,33.6,30.8,29.1,37
Dhaka,1994,29.1,31,35.2,37.6,36.1,34.8,34,34.1,35,34.5,33,29.8,37.6
Dhaka,1995,29.2,30.8,38.8,39,38,36.6,33.5,34.7,35.6,34.6,34.2,28.6,39
Dhaka,1996,29.2,32,37.6,38.4,36.5,35.5,34.1,35.5,37.5,35.4,33.7,30.3,38.4
Dhaka,1997,27.6,31.3,35.6,34.7,36.2,35.5,34.4,37.5,34,34,33.7,29,37.5
Dhaka,1998,27.3,30.8,34.8,35.7,37.5,35.8,34.1,34.6,36.2,35.7,33.6,30.3,37.5
Dhaka,1999,29.4,35.7,39.6,37.6,37.5,36.6,35.6,34,34.6,34.6,32.4,29.7,39.6
Dhaka,2000,28.7,28.2,34,35.1,36.6,35.2,35.2,35,34.4,34.9,32.5,27.3,36.6
Dhaka,2001,28,31.4,35.8,37.5,35,33.8,34,34,34.2,34.8,32,28.4,37.5
Dhaka,2002,28.2,33.5,35.5,34.3,35.4,34.4,35.2,34.1,35,34.2,32,29.5,35.5
Dhaka,2003,27.5,31.6,34,36.2,36.3,36.7,35.3,35.1,34.2,34,32.1,29.2,36.7
Dhaka,2004,27.5,32.8,35.7,35.2,38.1,35.2,34.5,34.6,34,34.5,31.1,29.4,38.1
Dhaka,2005,28.5,32.1,35.6,37,36.4,36.6,33.7,34,35.1,34.6,31.4,29,37
Dhaka,2006,28.2,35.9,38.5,37.1,36.8,35,35.6,35.2,35.7,34.7,32.6,30.1,38.5
Dhaka,2007,28.8,30.8,36.7,35.9,37.5,35.9,34.8,35.9,34.9,35.6,31.8,28.2,37.5
Dhaka,2008,29,30.6,34.6,36.9,36.7,35.4,34,36,34.8,34.8,32.3,29,36.9
Dhaka,2009,28.1,33.9,36,39.6,37.8,36.5,35.7,34.3,35.3,35.8,33.9,29,39.6
Dhaka,2010,29,31.2,37.3,37.9,36.9,35.8,35.1,35.1,34,35.7,33.2,29.7,37.9
Dhaka,2011,27.8,31,34.5,35.8,35.3,36,35.4,35,36.2,34.5,32.4,30,36.2
Dhaka,2012,28.5,33,37.3,37.1,36.2,36.7,34.3,34.5,36.5,34.4,32.4,28.5,37.3
Dhaka,2013,28.1,32.4,36,37,37.1,36.4,34.6,35,35.7,35.2,32.1,30.5,37.1
Dhaka,2014,28.5,30.4,38,40.2,38,37,35.8,34.4,34.8,36,33.8,29.2,40.2
Tangail,1988,****,****,****,39,40.1,36.2,33.4,33.2,33.3,33.5,32.5,27.2,40.1
